batch_id,event_time,actor_role,event_category,event_text
B_B001,2026-01-15T10:31:38.180386,Operator,Operator,Batch verlief ohne besondere Vorkommnisse
B_B002,2026-01-15T13:19:02.770213,Operator,Operator,Batch verlief ohne besondere Vorkommnisse
B_B003,2026-01-15T15:17:01.372291,Operator,Operator,Batch verlief ohne besondere Vorkommnisse
B_B004,2026-01-15T17:24:42.562752,Operator,Operator,Batch verlief ohne besondere Vorkommnisse
B_B005,2026-01-15T20:22:51.147405,Operator,Operator,Rührer-Sollwert auffällig hoch; korrigiert
B_B005,2026-01-16T03:15:54.379041,Maintenance,Maintenance,Reglerparameter geprüft
B_B006,2026-01-15T23:12:44.569290,Operator,Operator,Rührer-Sollwert auffällig hoch; korrigiert
B_B006,2026-01-16T06:37:03.178175,Maintenance,Maintenance,Reglerparameter geprüft
B_B007,2026-01-16T01:55:02.510964,Operator,Operator,Batch verlief ohne besondere Vorkommnisse
B_B008,2026-01-16T03:53:33.411753,Operator,Operator,Batch verlief ohne besondere Vorkommnisse
B_B009,2026-01-16T06:51:02.402903,Operator,Operator,Batch verlief ohne besondere Vorkommnisse
B_B010,2026-01-16T09:14:10.280933,QC,QC,pH-Sonde geprüft / Kalibrierung empfohlen
B_B010,2026-01-16T16:40:43.579542,Operator,Operator,Basenzufuhr erhöht zur pH-Korrektur
B_B011,2026-01-16T12:23:26.892900,Operator,Operator,Batch verlief ohne besondere Vorkommnisse
B_B012,2026-01-16T20:50:59.692099,Maintenance,Maintenance,Entlüftungsfilter teilverstopft
B_B012,2026-01-16T23:20:39.844208,Operator,Operator,"Druck kurz erhöht, anschließend stabilisiert"
B_B013,2026-01-16T22:37:21.129771,Maintenance,Maintenance,Entlüftungsfilter teilverstopft
B_B013,2026-01-17T00:57:25.773676,Operator,Operator,"Druck kurz erhöht, anschließend stabilisiert"
B_B014,2026-01-16T19:05:06.696984,Operator,Operator,Batch verlief ohne besondere Vorkommnisse
B_B015,2026-01-16T21:58:53.571354,Operator,Operator,Batch verlief ohne besondere Vorkommnisse
B_B016,2026-01-16T23:30:54.344210,Operator,Operator,Batch verlief ohne besondere Vorkommnisse
B_B017,2026-01-17T03:13:46.506836,Operator,Operator,"Feed A wirkt zähflüssiger, Pumpenleistung angepasst"
B_B017,2026-01-17T11:26:51.017578,QA,QA,Rohstoff-Lot im Batch Record vermerkt
